"substance_1","substance_2","frequency"
"Abacavir, Lamivudine","Abiraterone Acetate","16"
"Acetylsalicylic Acid","Abiraterone Acetate","3"
"Reproterol Hydrochloride, Sodium Cromoglicate","Abiraterone Acetate","2"
"Abacavir, Lamivudine","Sodium Hydrogen Carbonate, Potassium Chloride, Sodium Chloride, Macrogol 3350","2"
"Chlorphenamine Maleate, Phenylephrine Bitartrate, Paracetamol","Abiraterone Acetate","2"
"Sodium Hydrogen Carbonate, Potassium Chloride, Sodium Chloride, Macrogol 3350","Metformin Hydrochloride","1"
"Abacavir, Lamivudine","Isoconazole Nitrate","1"
"Abacavir, Lamivudine","Paracetamol","1"
"Apixaban","Abiraterone Acetate","1"
"Estriol","Amoxicillin, Clavulanic Acid","1"
"Insulin Glargine","Amphotericin B","1"
"Pefloxacin","Abiraterone Acetate","1"
"Reproterol Hydrochloride, Sodium Cromoglicate","Abacavir, Lamivudine","1"
"Zidovudine, Abacavir, Lamivudine","Abiraterone Acetate","1"
"Abacavir","Abiraterone Acetate","1"
"Benzocaine","Abacavir, Lamivudine","1"
"Hypericum Perforatum L.","Abacavir, Lamivudine","1"
"Paracetamol","Abiraterone Acetate","1"
"Pefloxacin Mesilate Dihydrate","Abiraterone Acetate","1"
"Reproterol Hydrochloride, Sodium Cromoglicate","Abacavir","1"
"Abacavir, Lamivudine","Naltrexone Hydrochloride","1"
"Amphotericin B","Naltrexone Hydrochloride","1"
"Insulin Glargine","Naltrexone Hydrochloride","1"
"Paracetamol","Fentanyl","1"
