"urgency_level","total_cases","percentage","wait_time","admitted_count","admission_percentage","department","referrals_per_department"
"1","3","1.18","85.00","3","100.00","Επείγοντα","3"
"1","3","1.18","89.00","3","100.00","Οφθαλμολογία","3"
"1","3","1.18","45.67","3","100.00","Χειρουργική","3"
"1","3","1.18","25.33","3","100.00","Ορθοπεδική","3"
"1","2","0.78","58.00","2","100.00","Γαστρεντερολογία","2"
"1","2","0.78","74.50","2","100.00","Παιδιατρική","2"
"1","2","0.78","49.50","2","100.00","Ογκολογία","2"
"1","1","0.39","78.00","1","100.00","Καρδιολογία","1"
"1","1","0.39","29.00","1","100.00","Παθολογία","1"
"1","1","0.39","73.00","1","100.00","Πνευμονολογία","1"
"1","1","0.39","60.00","1","100.00","Ουρολογία","1"
"1","33","12.94","68.09","0","0.00",NULL,"0"
"2","3","1.18","103.67","3","100.00","Μαιευτική","3"
"2","2","0.78","24.00","2","100.00","Οφθαλμολογία","2"
"2","2","0.78","42.50","2","100.00","Ωτορινολαρυγγολογία","2"
"2","2","0.78","60.50","2","100.00","Καρδιολογία","2"
"2","2","0.78","38.00","2","100.00","Γαστρεντερολογία","2"
"2","1","0.39","32.00","1","100.00","Παθολογία","1"
"2","1","0.39","14.00","1","100.00","Παιδιατρική","1"
"2","1","0.39","114.00","1","100.00","Νευρολογία","1"
"2","1","0.39","89.00","1","100.00","ΜΕΘ","1"
"2","1","0.39","105.00","1","100.00","Ορθοπεδική","1"
"2","1","0.39","90.00","1","100.00","Ουρολογία","1"
"2","32","12.55","71.19","0","0.00",NULL,"0"
"3","3","1.18","89.33","3","100.00","Παιδιατρική","3"
"3","2","0.78","104.00","2","100.00","Πνευμονολογία","2"
"3","2","0.78","26.50","2","100.00","Νευρολογία","2"
"3","2","0.78","85.50","2","100.00","Χειρουργική","2"
"3","2","0.78","97.50","2","100.00","Μαιευτική","2"
"3","1","0.39","52.00","1","100.00","ΜΕΘ","1"
"3","1","0.39","92.00","1","100.00","Ωτορινολαρυγγολογία","1"
"3","1","0.39","109.00","1","100.00","Παθολογία","1"
"3","1","0.39","81.00","1","100.00","Καρδιολογία","1"
"3","1","0.39","39.00","1","100.00","Ορθοπεδική","1"
"3","1","0.39","22.00","1","100.00","Ουρολογία","1"
"3","28","10.98","56.29","0","0.00",NULL,"0"
"4","3","1.18","69.00","3","100.00","Παθολογία","3"
"4","2","0.78","71.50","2","100.00","Πνευμονολογία","2"
"4","2","0.78","54.00","2","100.00","ΜΕΘ","2"
"4","2","0.78","96.50","2","100.00","Νευρολογία","2"
"4","2","0.78","12.50","2","100.00","Γαστρεντερολογία","2"
"4","2","0.78","33.50","2","100.00","Ωτορινολαρυγγολογία","2"
"4","1","0.39","21.00","1","100.00","Οφθαλμολογία","1"
"4","1","0.39","13.00","1","100.00","Παιδιατρική","1"
"4","1","0.39","51.00","1","100.00","Ουρολογία","1"
"4","1","0.39","33.00","1","100.00","Ογκολογία","1"
"4","1","0.39","41.00","1","100.00","Ορθοπεδική","1"
"4","37","14.51","60.19","0","0.00",NULL,"0"
"5","5","1.96","73.20","5","100.00","Νευρολογία","5"
"5","3","1.18","68.33","3","100.00","ΜΕΘ","3"
"5","3","1.18","65.33","3","100.00","Ουρολογία","3"
"5","3","1.18","67.67","3","100.00","Οφθαλμολογία","3"
"5","2","0.78","76.00","2","100.00","Γαστρεντερολογία","2"
"5","2","0.78","38.50","2","100.00","Επείγοντα","2"
"5","2","0.78","99.00","2","100.00","Χειρουργική","2"
"5","1","0.39","22.00","1","100.00","Πνευμονολογία","1"
"5","1","0.39","106.00","1","100.00","Ωτορινολαρυγγολογία","1"
"5","1","0.39","89.00","1","100.00","Καρδιολογία","1"
"5","1","0.39","12.00","1","100.00","Μαιευτική","1"
"5","27","10.59","59.07","0","0.00",NULL,"0"
