"ousia_id","drastiki_ousia","plithos_allergikon_asthenon","plithos_farmakon"
"42","Sildenafil Citrate","5","1"
"38","Paracetamol Bp","5","2"
"24","Fentanyl","3","1"
"29","Erythromycin","3","2"
"61","Magnesium Sulfate Heptahydrate","3","1"
"16","Dabigatran Etexilate","3","1"
"39","Fluid Extract From Gentian Root (1: 1), Extraction Solvent: Ethanol 50% (V / V), Fluid Extract Of Wormwood (1:1), Extraction Solvent: Ethanol 20% (V/V), Fluid Extract From Melissa Leaf (1: 1), Extract","3","1"
"62","Senna Pods, Tinnevelly","3","1"
"40","Sodium Hydrogen Carbonate, Potassium Chloride, Sodium Chloride, Macrogol 3350","3","6"
"45","Sildenafil","3","1"
"37","Nonivamide","2","1"
"60","Castor Oil, Refined","2","1"
"19","Paracetamol","2","1"
"56","Bevacizumab","2","1"
"11","Chlorphenamine Maleate, Phenylephrine Bitartrate, Paracetamol","2","1"
"57","Fentanyl Citrate","2","1"
"48","Drospirenone, Ethinylestradiol","2","1"
"7","Dexamethasone Base","2","1"
"30","Erythromycin Ethylsuccinate","2","3"
"44","Calcium, Magnesium","2","1"
"58","Castor Oil, Virgin","2","1"
"17","Pefloxacin","2","1"
"63","Metformin Hydrochloride","2","1"
"27","Amoxicillin, Clavulanic Acid","2","2"
"9","Estriol","2","1"
"32","Erythromycin Stearate","2","1"
"14","Zidovudine, Abacavir, Lamivudine","1","3"
"46","Amphotericin B","1","3"
"5","Tincture From Agnus Castus Fruit (1:10), Extraction Solvent: Ethanol 69.5% V/V","1","1"
"69","Esomeprazole Magnesium Dihydrate","1","1"
"28","Tranylcypromine","1","1"
"74","Bimatoprost","1","1"
"1","Liquid Extract From Viscum Album Subsp. Abietis Var Abies Alba (1:20), Extraction Solvents: Water For Injection And Sodium Chloride (99.91:0.09)","1","1"
"33","Soft Extract Of Capsicum, (4-7: 1), Corresponding To 4.8 Mg Of Capsaicinoids, Calculated As Capsaicin. Extraction Solvent: Ethanol 80% (V/V)","1","1"
"65","Retinol Palmitate, Riboflavin Sodium Phosphate, Thiamine Hydrochloride, Ascorbic Acid, Ergocalciferol, Nicotinamide, Pyridoxine Hydrochloride","1","1"
"15","Abacavir Sulfate, Lamivudine","1","1"
"47","Aripiprazole","1","7"
"6","Benzocaine","1","1"
"70","Isoconazole Nitrate","1","1"
"52","Bendroflumethiazide","1","1"
"43","Idecabtagene Vicleucel","1","1"
"2","Vitamin A Concentrate (Oily Form), Synthetic","1","1"
"21","Insulin Glargine","1","3"
"12","Abacavir, Lamivudine","1","60"
"3","Acetylsalicylic Acid","1","3"
"35","Soft Extract From Cayenne Pepper Fruit (4–7:1), Extraction Solvent: Ethanol 80% (V/V)","1","1"
"26","Abiraterone Acetate","1","119"
"49","Rosuvastatin Calcium","1","1"
"8","Dexamethasone Sodium Phosphate","1","1"
"72","Neomycin, Chlorobutanol, Menthol, Camphor, Cineole, Sylvestris Pine Oil","1","1"
"31","Erythromycin Lactobionate","1","1"
"22","Apixaban","1","2"
"54","Irbesartan","1","1"
"4","Hypericum Perforatum L.","1","1"
"68","Abietic Acid","1","1"
"18","Pefloxacin Mesilate Dihydrate","1","1"
"41","Lactic Acid, Salicylic Acid","1","1"
"64","Fluocinolone Acetonide, Framycetin","1","1"
"23","Atorvastatin","1","1"
"55","Amlodipine","1","1"
"51","Lactose Monohydrate, Prucalopride Succinate","0","1"
"10","Reproterol Hydrochloride, Sodium Cromoglicate","0","1"
"20","Rivaroxaban","0","1"
"75","Abiraterone","0","5"
"34","Capsaicin","0","1"
"66","Retinol Palmitate, Thiamine Hydrochloride, Ascorbic Acid, Ergocalciferol, Nicotinamide, Riboflavin, Pyridoxine Hydrochloride","0","1"
"25","Brivaracetam","0","1"
"71","Moxifloxacin","0","1"
"53","Naltrexone Hydrochloride","0","1"
"76","Prednisolone","0","2"
"67","Ibuprofen","0","1"
"13","Abacavir","0","10"
"36","Cayenne Pepper Soft Extract","0","1"
"59","Sennae Folium","0","3"
"50","Prucalopride","0","1"
"73","Moxifloxacin Hydrochloride","0","1"
