"department","date","shift","staff_type","subclass","total"
"Γαστρεντερολογία","2024-01-01","MORNING","DOCTOR","Οφθαλμολογία","1"
"Γαστρεντερολογία","2024-01-01","MORNING","DOCTOR","Παιδιατρική","1"
"Γαστρεντερολογία","2024-01-01","MORNING","DOCTOR","Ενδοκρινολογία","1"
"Γαστρεντερολογία","2024-01-01","MORNING","NURSE","NURSE_ASSISTANT","4"
"Γαστρεντερολογία","2024-01-01","MORNING","NURSE","HEAD_NURSE","2"
"Γαστρεντερολογία","2024-01-01","MORNING","ADMINISTRATIVE","Υπεύθυνος Αρχείου","1"
"Γαστρεντερολογία","2024-01-01","MORNING","ADMINISTRATIVE","Διαχειριστής","1"
"Γαστρεντερολογία","2024-01-01","AFTERNOON","DOCTOR","Αιματολογία","1"
"Γαστρεντερολογία","2024-01-01","AFTERNOON","DOCTOR","Οφθαλμολογία","1"
"Γαστρεντερολογία","2024-01-01","AFTERNOON","DOCTOR","Χειρουργική","1"
"Γαστρεντερολογία","2024-01-01","AFTERNOON","NURSE","NURSE","2"
"Γαστρεντερολογία","2024-01-01","AFTERNOON","NURSE","HEAD_NURSE","3"
"Γαστρεντερολογία","2024-01-01","AFTERNOON","NURSE","NURSE_ASSISTANT","1"
"Γαστρεντερολογία","2024-01-01","AFTERNOON","ADMINISTRATIVE","Υπεύθυνος Αρχείου","1"
"Γαστρεντερολογία","2024-01-01","AFTERNOON","ADMINISTRATIVE","Τεχνικός","1"
"Γαστρεντερολογία","2024-01-01","NIGHT","DOCTOR","Ορθοπεδική","1"
"Γαστρεντερολογία","2024-01-01","NIGHT","DOCTOR","Αιματολογία","1"
"Γαστρεντερολογία","2024-01-01","NIGHT","DOCTOR","Πνευμονολογία","1"
"Γαστρεντερολογία","2024-01-01","NIGHT","NURSE","NURSE_ASSISTANT","1"
"Γαστρεντερολογία","2024-01-01","NIGHT","NURSE","HEAD_NURSE","3"
"Γαστρεντερολογία","2024-01-01","NIGHT","NURSE","NURSE","2"
"Γαστρεντερολογία","2024-01-01","NIGHT","ADMINISTRATIVE","Διαχειριστής","1"
"Γαστρεντερολογία","2024-01-01","NIGHT","ADMINISTRATIVE","Γραμματέας","1"
"Γαστρεντερολογία","2024-01-02","MORNING","DOCTOR","Νευρολογία","2"
"Γαστρεντερολογία","2024-01-02","MORNING","DOCTOR","Νεφρολογία","1"
"Γαστρεντερολογία","2024-01-02","MORNING","NURSE","NURSE_ASSISTANT","2"
"Γαστρεντερολογία","2024-01-02","MORNING","NURSE","HEAD_NURSE","1"
"Γαστρεντερολογία","2024-01-02","MORNING","NURSE","NURSE","3"
"Γαστρεντερολογία","2024-01-02","MORNING","ADMINISTRATIVE","Διαχειριστής","2"
"Γαστρεντερολογία","2024-01-02","AFTERNOON","DOCTOR","Ενδοκρινολογία","1"
"Γαστρεντερολογία","2024-01-02","AFTERNOON","DOCTOR","Νευρολογία","1"
"Γαστρεντερολογία","2024-01-02","AFTERNOON","DOCTOR","Ουρολογία","1"
"Γαστρεντερολογία","2024-01-02","AFTERNOON","NURSE","HEAD_NURSE","3"
"Γαστρεντερολογία","2024-01-02","AFTERNOON","NURSE","NURSE","1"
"Γαστρεντερολογία","2024-01-02","AFTERNOON","NURSE","NURSE_ASSISTANT","2"
"Γαστρεντερολογία","2024-01-02","AFTERNOON","ADMINISTRATIVE","Τεχνικός","1"
"Γαστρεντερολογία","2024-01-02","AFTERNOON","ADMINISTRATIVE","Διαχειριστής","1"
"Γαστρεντερολογία","2024-01-02","NIGHT","DOCTOR","Ωτορινολαρυγγολογία","1"
"Γαστρεντερολογία","2024-01-02","NIGHT","DOCTOR","Μαιευτική","1"
"Γαστρεντερολογία","2024-01-02","NIGHT","DOCTOR","Ορθοπεδική","1"
"Γαστρεντερολογία","2024-01-02","NIGHT","NURSE","NURSE_ASSISTANT","1"
"Γαστρεντερολογία","2024-01-02","NIGHT","NURSE","HEAD_NURSE","4"
"Γαστρεντερολογία","2024-01-02","NIGHT","NURSE","NURSE","1"
"Γαστρεντερολογία","2024-01-02","NIGHT","ADMINISTRATIVE","Διαχειριστής","1"
"Γαστρεντερολογία","2024-01-02","NIGHT","ADMINISTRATIVE","Λογιστής","1"
"Γαστρεντερολογία","2024-01-03","MORNING","DOCTOR","Γαστρεντερολογία","1"
"Γαστρεντερολογία","2024-01-03","MORNING","DOCTOR","Ενδοκρινολογία","1"
"Γαστρεντερολογία","2024-01-03","MORNING","DOCTOR","Μαιευτική","1"
"Γαστρεντερολογία","2024-01-03","MORNING","NURSE","NURSE_ASSISTANT","2"
"Γαστρεντερολογία","2024-01-03","MORNING","NURSE","HEAD_NURSE","1"
"Γαστρεντερολογία","2024-01-03","MORNING","NURSE","NURSE","3"
"Γαστρεντερολογία","2024-01-03","MORNING","ADMINISTRATIVE","Διαχειριστής","2"
"Γαστρεντερολογία","2024-01-03","AFTERNOON","DOCTOR","Μαιευτική","2"
"Γαστρεντερολογία","2024-01-03","AFTERNOON","DOCTOR","Νευρολογία","1"
"Γαστρεντερολογία","2024-01-03","AFTERNOON","NURSE","NURSE_ASSISTANT","2"
"Γαστρεντερολογία","2024-01-03","AFTERNOON","NURSE","HEAD_NURSE","1"
"Γαστρεντερολογία","2024-01-03","AFTERNOON","NURSE","NURSE","3"
"Γαστρεντερολογία","2024-01-03","AFTERNOON","ADMINISTRATIVE","Λογιστής","1"
"Γαστρεντερολογία","2024-01-03","AFTERNOON","ADMINISTRATIVE","Διαχειριστής","1"
